Country,Country_code,Happiness.Scale,Happiness.Score,GDP,GINI,VoiceandAccountability,PoliticalStabilityNoViolence,GovermentEffectiveness,RegulatoryQuality,RuleofLaw,ControlofCorruption
Latvia,LVA,2,0.46470087038700914,0.10135342351132533,-0.4663044764893633,0.8202797408085839,0.7180951254134669,0.9253627014274473,1.1425796222171998,1.0005050472389048,0.6383578897721479
"Korea, Republic of",KOR,2,0.45412682304788393,0.8438080415955639,-0.8003623970603696,0.7612090714042236,0.5353922891810294,1.1076085519840404,1.0919351533225587,1.2346382141158876,0.582741057459704
"Moldova, Republic of",MDA,2,0.45412682304788393,-0.5968041540510862,-1.5327201460044988,-0.041676580772558515,-0.031682074329583684,-0.526761118983058,-0.0788377736177658,-0.3571696723341074,-0.7111832616698632
Bolivia (Plurinational State of),BOL,2,0.44090947395994873,-0.5388669295093991,0.7928369164321211,-0.037526223769473004,-0.09937929839978708,-0.4032065420220175,-0.9603693347541895,-1.1583620889304393,-0.5682624380536618
Turkmenistan,TKM,2,0.4400283733770151,-0.3713294686194039,0.38168870649857467,-2.2633086002188527,0.06640303297288107,-1.2471749661498337,-2.0892490301487334,-1.44057955269181,-1.4026116573124092
Kazakhstan,KAZ,2,0.4373846514562611,-0.243091658590316,-1.3271460410377256,-1.291522003271012,0.24258985912287598,0.006545256611490205,0.13468491605604274,-0.35436955534242026,-0.7337982310668865
Cyprus,CYP,2,0.42945432603788997,0.6071812433807368,-0.4920012396102103,1.0901169026073692,0.8682617741215435,0.9411679613408676,1.015106532334451,0.9536593127937452,0.888053906002981
Cyprus,CYP,2,0.42945432603788997,0.6071812433807368,-0.4920012396102103,1.0901169026073692,0.8682617741215435,0.9411679613408676,1.015106532334451,0.9536593127937452,0.888053906002981
Cyprus,CYP,2,0.2629141308765458,0.6071812433807368,-0.4920012396102103,1.0901169026073692,0.8682617741215435,0.9411679613408676,1.015106532334451,0.9536593127937452,0.888053906002981
Cyprus,CYP,2,0.2629141308765458,0.6071812433807368,-0.4920012396102103,1.0901169026073692,0.8682617741215435,0.9411679613408676,1.015106532334451,0.9536593127937452,0.888053906002981
Slovenia,SVN,2,0.3836337343496465,0.5213164128517598,-1.5969620538066154,1.0376734793878148,1.183093939743929,1.198138705892417,0.5522930816833727,1.0934187609838368,0.9194756704250642
Peru,PER,2,0.3457438882517274,-0.37210071480167317,0.7028982455091576,0.2736410184748474,-0.04844968729000368,-0.13378215790888065,0.38848593218309463,-0.44503781083587024,-0.4054006068610872
Mauritius,MUS,2,0.2699637758839367,-0.1664708967965042,-0.260730371522591,0.8146589767744256,1.2902856638213,0.9200607400865728,0.9795636933355686,0.7471993620130496,0.29905525878595146
Estonia,EST,2,0.254102704875249,0.31704774205233766,-0.659030199895713,1.2550705142380698,0.932563993919781,1.1424983418387518,1.6420442312430024,1.3541553397098025,1.3529356613227705
Belarus,BLR,2,0.21709353918831012,-0.4164120485399125,-1.5969620538066154,-1.4250842930315397,0.25362171843925135,-0.35785841655485684,-0.7939213032862575,-0.7652663432836696,-0.16401631807120826
Turkey,TUR,2,0.1562933972462658,-0.16355070027234203,0.5230209036632313,-0.7489070949509073,-1.6983912584762304,0.06970376248482153,-0.0038966159784190315,-0.19166404497093556,-0.09895202390273523
Paraguay,PRY,3,0.15012527299377043,-0.41136103457638173,1.4095592313324399,-0.05529958108293707,0.35132855071311225,-0.8358319828810653,-0.2768486624292741,-0.5961230627275533,-0.6369284898233131
Philippines,PHL,3,0.09461173454933454,-0.5601197343526562,0.291750035575612,0.07520569717473054,-1.0990915169050177,-0.06692736373448042,-0.02073699668247241,-0.3574813577687631,-0.38447338293681105
Serbia,SRB,3,0.0637711132868452,-0.4073586127378195,-1.1986622254334927,0.11005654100124718,0.33473820811621835,0.19384165820163524,-0.030626048658824727,-0.13330498435717902,-0.28288040815395465
Jordan,JOR,3,0.01178239734610554,-0.5002555584055204,-0.5305463842914798,-0.7650677788755751,-0.34025923339706826,0.11689478091554494,0.058711214746225045,0.324437357603508,0.3591793222767266
Hungary,HUN,3,0.0012083500069803763,0.0294911818400621,-0.9545429757854498,0.3710097548395202,1.0960774369478314,0.5241188697166792,0.6256445444666181,0.5951961641900302,0.1867752842109614
Jamaica,JAM,3,-0.01024679791507835,-0.44860432377656206,0.9855626398384708,0.709452018883214,0.4977458458760778,0.4995030398283925,0.10862106490617514,-0.09717110998827089,-0.07798493351800852
Croatia,HRV,3,-0.026107448751812725,-0.014699966069256498,-0.8646043048624862,0.5228110585023585,1.0231314561497085,0.5889122986248042,0.39450714551138444,0.3980125312644272,0.2852858958074326
China,CHN,3,-0.043731141098321755,-0.25376467178299983,0.09902431216926234,-1.580740430172676,-0.04351927054619338,0.43010780020071965,-0.191089428700318,-0.2045549816684711,-0.17651467197206452
Pakistan,PAK,3,-0.047255543430063836,-0.6357423675935134,-0.5562431474123268,-0.7357329569617338,-2.3434830731948675,-0.6025969740573269,-0.6476270529374533,-0.6696353580243756,-0.6906102388119725
Indonesia,IDN,3,-0.05342366768255998,-0.5151002577260941,0.03478240436714577,0.1247458908186165,-0.32275581520800445,0.0391907431230498,-0.148785110423391,-0.28883051326586784,-0.1590921696291629
